timestamp,site_id,pv_forecast_kw,pv_actual_kw,load_kw,load_forecast_kw,battery_soc,battery_power_kw,battery_temperature,electricity_price,contract_capacity_kw,grid_import_kw,grid_export_kw,weather_condition,ghi,temperature,humidity,ems_mode,equipment_status,battery_soh,battery_cycle_count,battery_equivalent_cycle,battery_health_status,battery_is_second_life,battery_rated_capacity_kwh,battery_available_capacity_kwh
2026-03-01 00:00:00,site_tsedge01,0.0,0.0,19.05,18.5,50.0,-20.0,31.5,3.22,100.0,39.05,0.0,cloudy,0.0,22.2,61.5,auto,normal,92.63,120,118.0,normal,False,50.0,45.0
2026-03-01 00:15:00,site_tsedge01,0.0,0.0,20.31,19.95,60.0,-20.0,30.7,2.97,100.0,40.31,0.0,cloudy,0.0,21.7,45.5,auto,normal,92.64,120,118.01,normal,False,50.0,45.0
2026-03-01 00:30:00,site_tsedge01,0.0,0.0,20.39,19.5,70.0,-20.0,31.7,3.08,100.0,40.39,0.0,cloudy,0.0,21.5,57.6,auto,normal,92.81,120,118.02,normal,False,50.0,45.0
not-a-date,site_tsedge01,0.0,0.0,21.68,21.95,80.0,0.0,25.4,3.24,100.0,21.68,0.0,cloudy,0.0,22.5,61.8,auto,normal,92.77,120,118.03,normal,False,50.0,45.0
2026-03-01 01:00:00,site_tsedge01,0.0,0.0,22.57,23.46,80.0,0.0,25.5,3.03,100.0,22.57,0.0,cloudy,0.0,22.8,47.6,auto,normal,92.93,120,118.04,normal,False,50.0,45.0
2026-03-01 01:15:00,site_tsedge01,0.0,0.0,19.78,19.97,80.0,0.0,24.8,2.79,100.0,19.78,0.0,cloudy,0.0,23.0,52.2,auto,normal,93.36,120,118.05,normal,False,50.0,45.0
2026-03-01 01:30:00,site_tsedge01,0.0,0.0,20.92,20.23,80.0,0.0,24.3,3.13,100.0,20.92,0.0,cloudy,0.0,21.2,50.5,auto,normal,93.42,120,118.06,normal,False,50.0,45.0
2026-03-01 01:45:00,site_tsedge01,0.0,0.0,20.15,20.23,80.0,0.0,24.0,3.26,100.0,20.15,0.0,cloudy,0.0,21.9,60.5,auto,normal,92.89,120,118.07,normal,False,50.0,45.0
,site_tsedge01,0.0,0.0,18.38,17.94,80.0,0.0,24.8,2.95,100.0,18.38,0.0,cloudy,0.0,22.9,48.6,auto,normal,93.07,120,118.08,normal,False,50.0,45.0
2026-03-01 02:15:00,site_tsedge01,0.0,0.0,18.23,18.02,80.0,0.0,24.9,3.1,100.0,18.23,0.0,cloudy,0.0,22.2,53.0,auto,normal,93.44,120,118.09,normal,False,50.0,45.0
